ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
115,94,Mitesh Bhakta,34,8,3,3,1
116,95,Gaurang Wable,30,9,2,2,1
117,96,Barkha Badami,67,5,5,1,3
118,97,Chakradev Panchal,53,1,6,4,2
119,98,Hritik Dyal,48,4,4,3,1
120,98,Hritik Prabhu,41,4,4,1,1
121,99,Agastya Jain,24,7,1,5,1
122,99,Yuvraj Vora,37,1,2,5,3
123,100,Joshua Krish,51,9,5,2,2
124,101,Pranit Kalla,32,8,6,4,3
125,102,Lajita Rai,48,8,2,3,3
126,103,Indrajit Chawla,54,7,5,4,1
127,104,Urmi Luthra,59,3,1,4,3
128,105,Finn Bala,48,6,5,4,2
129,106,Zansi Boase,71,6,5,5,2
130,107,Bhavini Memon,64,1,1,1,2
131,108,Netra Pall,59,7,2,1,1
132,108,Libni Choudhury,65,1,2,3,2
133,109,Advika Brar,48,6,6,4,1
134,110,Jalsa Sunder,34,5,5,1,2
135,111,Abhimanyu Bava,71,8,6,1,1
136,111,Indrajit Bhakta,54,8,6,4,1
137,112,Vanya Datta,53,7,3,5,2
138,113,Odika Shere,55,8,5,2,2
139,114,Zinal Mallick,69,6,1,5,3
140,114,Pushti Saran,66,3,2,5,3
141,115,Onveer Parekh,27,9,6,3,2
142,116,Vrinda Mutti,66,2,2,3,1
143,117,Yashoda Dhingra,39,9,7,1,2
144,118,Eta Bhatti,32,1,2,5,1
145,119,Krish Dayal,62,1,3,1,2
146,120,Samuel Agarwal,48,8,6,5,3
147,121,Andrew Reddy,22,5,3,3,1
148,122,Ekaja Toor,74,1,6,5,2
149,123,Chakradev Nanda,58,5,6,4,3
150,124,Oliver Golla,40,9,2,4,1
151,125,Jonathan Shukla,43,5,2,1,3
152,126,Zayyan Mukherjee,29,5,2,4,3
153,127,Turvi Sanghvi,23,1,3,1,3
154,128,Manthan Halder,48,1,1,4,3
155,129,Raghav Dey,69,7,2,5,2
156,130,Girik Divan,33,3,2,3,2
157,131,Simon Natarajan,66,6,3,5,3
158,132,Mason Bhatia,18,7,3,1,2
159,133,Nakul Purohit,75,8,2,1,1
160,133,Isaiah Agate,70,7,5,5,2
161,134,Ojas Dhillon,54,6,3,4,1
162,135,Peter Pathak,49,2,5,1,3
163,135,Teerth Sethi,48,6,2,3,1
164,136,Aarav Om,30,7,5,5,1
165,137,Rayaan Dasgupta,42,5,4,1,2
166,138,Jeevika Garde,42,6,6,5,2
167,139,Chatresh Narang,19,9,1,4,3
168,140,Parth Bali,28,3,7,2,1
169,141,Sachi Sampath,25,8,7,3,2
170,142,Ganga Bala,72,9,5,2,3
171,143,Tristan Gandhi,46,7,3,4,2
172,144,Nihal Varughese,75,2,7,3,3
173,144,Harsh Dhaliwal,58,3,6,2,1
174,145,Ganga Memon,25,8,5,1,3
175,146,Qabil Setty,18,5,6,4,3
176,147,Harsh Radhakrishnan,19,9,2,1,3
177,148,Vinaya Zacharia,50,1,6,5,1
178,149,Parth Yadav,62,2,7,5,2
179,150,Ayush Kohli,53,8,6,2,2
180,151,Xavier Oommen,73,6,6,1,2
181,152,Udant Sengupta,53,4,2,3,1
182,153,Arya Dutta,35,3,4,1,3
183,154,Balvan Zachariah,24,9,4,2,1
184,155,Warda Oak,41,2,5,3,1
185,156,Dhriti Char,29,9,5,1,1
186,157,Janani Khurana,35,4,3,4,2
187,158,Gaurang Deshpande,44,4,4,1,2
188,159,Rachana Goda,18,2,6,2,2
189,160,Ekaraj Raghavan,74,2,2,2,2
190,161,Raagini Rastogi,19,9,2,3,1
191,162,Warhi Setty,65,6,2,3,3
192,163,Raghav Raghavan,54,7,5,2,1
193,164,Bhavika Vora,73,7,5,2,2
194,165,Maanav Khosla,19,5,3,3,3
195,166,Indrajit Luthra,25,1,2,5,2
196,167,Yashawini Kumer,49,3,7,3,3
197,168,Amara Dass,20,4,2,2,1
198,169,Osha Gera,66,1,7,3,3
199,170,Eiravati Gour,41,4,4,2,2
200,171,Saumya Ravel,43,3,3,5,2
201,172,Gopal Butala,72,2,2,4,2
202,173,Qasim Khosla,31,4,1,5,3
203,174,Jalsa Jani,28,2,7,5,1
204,175,Yauvani Saha,52,2,1,1,3
205,176,Gaurav Uppal,39,5,7,5,2
206,177,Triya Kuruvilla,24,9,6,1,2
207,178,Rishi Deshpande,24,2,5,4,1
208,179,Abhimanyu Muni,73,6,3,1,3
209,180,Kala Parikh,24,4,7,3,1
210,181,Siddharth Buch,47,7,7,1,2
211,182,Yatin Dhar,74,1,3,5,2
212,182,Gaurav Acharya,31,1,2,4,2
213,183,Jhalak Issac,55,2,4,2,2
214,184,Triya Jayaraman,29,5,3,2,1
215,185,Rudra Singh,39,5,3,1,3
216,186,Saanvi Mitter,27,5,3,1,1
217,187,Alka Kapadia,22,5,1,1,3
218,188,Simon Sood,40,8,1,5,3
219,189,Chaitanya Basak,72,5,2,4,1
220,190,Kavya Bhakta,58,5,7,3,2
221,191,Anay Swaminathan,66,5,1,2,1
222,191,Pahal Chacko,37,3,2,1,2
223,192,Ethan Sanghvi,23,9,2,4,2
224,193,Yashasvi Cheema,37,3,6,2,3
225,194,Adya Mand,25,9,1,1,3
226,195,Vidhi Kuruvilla,18,3,1,3,1
227,196,Zilmil Nagarajan,62,7,2,1,2
228,197,Chaitanya Dugar,72,4,3,2,1
229,197,Januja Tank,62,4,4,5,2
230,198,Ganga Issac,20,1,4,2,3
231,199,Avni Balasubramanian,57,4,5,3,1
232,200,Teerth Natarajan,32,6,7,1,2
233,200,Yamini Solanki,52,9,3,2,3
234,201,Abhimanyu Lala,71,9,4,5,2
235,202,Aarini Lall,64,4,4,3,2
236,203,Aryan Bath,66,4,4,3,1
237,203,Chasmum Kara,72,9,2,4,1
238,204,Bimala Seshadri,41,6,5,5,2
239,205,Nitesh Srivastava,61,4,4,1,3
240,206,Aishani Jha,62,7,6,4,2
241,207,Inaya Pathak,38,3,2,5,3
242,208,Chameli Gola,19,8,1,4,2
243,209,Gagan Agate,50,4,5,3,1
244,210,Nathan Loke,63,1,6,4,2
245,210,Upasna Chawla,19,6,1,1,3
246,211,Yashoda Wason,22,4,3,1,2
247,212,Zarna Saxena,56,4,1,5,2
248,213,Vasatika Vohra,70,6,6,1,3
249,214,Patrick Kurian,70,2,5,3,1
250,215,Bhanumati Boase,37,4,4,4,1
251,216,Arin Padmanabhan,55,4,2,3,3
252,217,Sarthak Kothari,20,6,6,5,2
253,218,Bishakha Lala,73,1,6,3,1
254,219,Bahadurjit Shenoy,72,5,6,3,1
255,220,Alka Aggarwal,66,3,6,5,3
256,220,Ayushman Sarraf,55,2,6,4,1
257,221,Zansi Date,20,1,5,3,3
258,222,Isha Chaudhari,38,5,4,1,1
259,223,Benjamin Khanna,52,8,6,4,1
260,223,Avi Sawhney,36,1,3,4,2
261,224,Yoshita Sem,53,6,7,1,1
262,225,Michael Swaminathan,20,4,6,2,3
263,226,Oeshi Upadhyay,73,2,3,1,1
264,227,Aryan Chakrabarti,44,8,6,5,1
265,228,Sara Venkataraman,58,9,7,4,1
266,229,Ubika Hari,64,7,3,5,2
267,229,Warda Saraf,19,3,6,4,1
268,230,Advay Prashad,51,2,3,1,1
269,231,Warhi Thaker,60,5,5,1,3
270,232,Hredhaan Kumer,41,1,5,3,2
271,233,Xiti Soni,48,4,6,1,1
272,234,Gauri Deo,50,9,3,2,3
273,235,Logan Chopra,44,3,1,3,2
274,236,Garima Nigam,51,3,6,5,3
275,237,Pranav Chacko,50,2,6,2,3
276,238,Nitara Wadhwa,46,6,7,3,2
277,239,Aarnav Zachariah,54,3,4,5,3
278,240,Lajita Wadhwa,65,4,1,5,2
279,241,Isha Dixit,54,3,2,3,1
280,242,Leela Bhattacharyya,27,5,4,1,1
281,242,Rajata Vala,28,2,2,2,2
282,243,Prisha Rattan,55,4,4,3,1
283,244,Urvashi Gulati,25,5,2,4,1
284,245,Osha Gulati,23,5,6,2,3
285,246,Joshua Devan,37,9,5,2,1
286,246,Fitan Sastry,44,5,6,3,2
287,247,Yutika Banerjee,46,2,2,4,3
288,248,Yashasvi Sagar,45,7,7,5,3
289,249,Ekiya Mander,32,5,3,2,1
290,250,Riya Parmar,39,9,7,3,2
291,251,Zarna Oak,24,8,6,5,2
292,252,Jai Mane,39,3,3,1,1
293,252,Nitara Nagy,24,2,7,5,3
294,253,Omaja Muni,71,6,6,4,3
295,254,Panini Sastry,31,4,4,3,2
296,255,Maanav Mander,31,4,6,2,2
297,256,Wahab Bobal,49,2,5,2,1
298,257,Ati Parmer,63,3,7,2,2
299,258,Widisha More,65,2,3,4,2
300,259,Rushil Gera,34,1,7,3,2
301,260,Atharv Bala,34,1,2,3,3
302,261,Qarin Bhatt,23,7,2,4,3
303,262,Kiaan Batta,43,3,1,2,2
304,263,Udant Shan,62,6,7,2,1
305,264,Hitesh Zacharia,29,4,1,2,2
306,265,Quincy Bhakta,60,7,5,5,3
307,266,Anthony Mukherjee,72,3,3,4,1
308,267,Chaaya Kapur,63,4,5,2,3
309,268,Rehaan Bhargava,46,2,6,4,2
310,269,Ganga Kade,72,2,4,3,3
311,269,Lakshit Murty,49,2,3,1,3
312,270,Panini Sarma,38,9,4,1,2
313,271,Kiaan Hayer,65,8,1,5,2
314,272,Bahadurjit Mohan,63,5,1,2,2
315,273,Radhika Bassi,66,9,4,4,3
316,274,Tripti Parmar,34,5,6,5,1
317,275,Vamakshi Ram,27,1,4,4,2
318,276,Krishna Sathe,22,9,3,4,3
319,277,Ladli Agarwal,59,6,4,5,2
320,278,Vedant Cheema,43,1,6,3,2
321,278,Vamakshi Hans,75,3,5,2,2
322,279,Idika Gole,30,6,5,1,1
323,280,Wakeeta Palla,38,5,1,2,3
324,281,Bhavna Desai,73,2,4,5,2
325,282,Yasti Parsa,75,4,4,5,1
326,283,Amaira Parekh,71,4,4,4,3
327,284,Chandresh Kannan,39,7,6,2,2
328,285,Gauri Swaminathan,51,3,5,5,1
329,286,Chaitanya Bakshi,28,3,1,4,2
330,287,Rajeshri Grewal,71,9,1,2,1
331,288,Jason Murthy,26,7,1,1,1
332,289,Ucchal Raghavan,35,6,2,1,3
333,290,Logan Sarin,21,8,2,5,1
334,291,Vincent Vora,33,6,5,1,1
335,292,Zayan Thaker,71,5,7,1,3
336,293,Gaurav Khurana,31,6,2,5,2
337,294,Rachana Dayal,51,2,3,3,2
338,295,Jeet Pau,57,3,4,4,2
339,296,Aradhana Atwal,67,8,4,2,2
340,297,Aryan Dey,46,1,3,1,3
341,298,Gunbir Gole,46,1,3,5,2
342,299,Urvashi Gulati,27,1,2,1,2
343,300,Zayan Gupta,53,2,7,4,3
344,300,Zayan Kale,30,2,2,3,2
345,301,Ekaja Subramaniam,75,8,3,5,2
346,302,Bhavani Bhattacharyya,18,4,7,5,1
347,303,Gaurang Anand,34,6,2,1,1
348,304,Praneel Dhar,28,2,6,2,2
349,304,Amol Iyer,56,9,6,4,2
350,305,Yashasvi Dutt,22,4,3,1,3
351,305,Amol Wagle,63,4,2,4,2
352,306,Wridesh Kulkarni,64,3,5,1,2
353,307,Fiyaz Venkatesh,21,1,4,2,1
354,308,Tanveer Char,59,5,5,2,2
355,309,Andrew Konda,38,1,7,1,2
356,310,Chaitaly More,26,9,2,5,1
357,311,Aryan Prasad,35,5,2,3,2
358,312,Nandini Sehgal,40,9,2,3,3
359,312,Isaiah Sant,35,2,7,4,1
360,313,Falan Bhat,29,4,4,4,2
361,314,Suhani Savant,49,9,3,1,1
362,315,Benjamin Rattan,37,2,7,1,3
363,316,Anusha Nayak,18,8,1,5,3
364,317,Qabil Wali,64,1,7,4,2
365,318,Pallavi Hayre,27,4,5,4,2
366,319,Daksh Chawla,41,4,5,5,3
367,320,Teerth Hayer,58,2,1,1,2
368,321,Jeevika Borde,58,5,2,2,1
369,321,Indrajit Das,42,6,6,2,1
370,322,Arunima Srinivasan,42,4,6,1,2
371,323,Amruta Sagar,61,6,5,4,1
372,323,Pavani Salvi,31,5,7,2,3
373,324,Yasti Karan,37,4,5,5,3
374,325,Pallavi Bir,69,7,6,5,2
375,325,Jyoti Gara,68,8,4,4,2
376,326,Anjali Wason,49,7,5,2,2
377,327,Noah Devan,23,6,2,2,1
378,328,Baljiwan Sekhon,60,7,3,1,2
379,328,Janani Naidu,40,2,2,4,2
380,329,Anusha Sangha,58,8,4,2,3
381,330,Ekapad Jaggi,71,8,4,1,2
382,331,Praneel Raja,38,6,3,4,2
383,332,Gagan Kapadia,29,9,1,3,3
384,333,Kamya Jha,57,1,4,1,3
385,334,Aadhya Deshpande,67,7,3,4,1
386,335,Fitan Rajagopalan,60,5,4,3,2
387,336,Aadhya Tak,24,3,5,1,2
388,337,Anamika Sampath,22,5,2,2,1
389,338,Pallavi Raman,22,3,7,5,3
390,339,Pushti Seshadri,74,8,2,2,3
391,340,Janani Pal,46,6,2,5,3
392,341,Nathaniel Singh,75,5,4,5,3
393,342,Aarush Sanghvi,39,8,2,5,1
394,342,Yashasvi Sachar,30,5,1,2,3
395,343,Umang Swaminathan,20,1,5,5,3
396,344,Tanmayi Bhavsar,42,4,5,3,2
397,345,Amruta Bajwa,67,7,5,2,2
398,346,Raghav Rajagopal,24,7,3,2,3
399,347,Chakrika Krishna,20,2,1,2,3
400,348,Irya Varughese,61,3,3,5,1
401,349,Shravya Kadakia,41,8,4,2,3
402,350,Akshay Memon,57,1,6,3,2
403,351,Upma Kamdar,38,1,4,2,2
404,352,Wakeeta Bora,66,7,4,1,3
405,353,Vansha Kuruvilla,45,8,5,4,3
406,354,Ekansh Kapoor,55,4,4,5,2
407,355,Geetika Singhal,47,4,7,2,2
408,356,Odika Vyas,19,6,4,3,1
409,357,Ayaan Jain,28,4,4,3,1
410,358,Shivansh Bahri,39,7,3,1,3
411,359,Xalak Manda,38,2,5,1,3
412,360,Balhaar Raja,64,9,4,1,2
413,361,Robert Pal,66,4,3,3,3
414,362,Aadhya Bhatti,68,1,7,5,1
415,363,Arya Bhatnagar,26,9,5,4,2
416,363,Chakrika Khare,36,7,5,5,1
417,364,Kabir Batra,44,6,7,4,1
418,365,Vidhi Joshi,24,1,7,1,1
419,366,Aayush Mohan,63,2,6,3,2
420,367,Yuvraj Nigam,19,9,4,1,1
421,368,Bina Balan,30,5,2,3,3
422,369,Viraj Rajan,41,3,3,4,2
423,370,Ekaraj Dani,33,2,6,4,2
424,370,Aishani Yogi,28,2,1,3,1
425,371,Ekani Pillay,73,6,4,4,2
426,372,Sai Sunder,26,8,1,5,1
427,373,Darpan Naidu,62,2,5,3,3
428,373,Luke Pant,68,8,7,3,2
429,374,Warda Shroff,55,6,2,2,1
430,374,Manbir Srinivasan,72,6,2,4,2
431,375,Vidhi Ray,75,9,5,1,1
432,376,Ayushman Sinha,54,8,2,1,3
433,377,Chaman Parikh,74,1,1,5,2
434,378,Gagan Subramanian,23,7,2,5,3
435,379,Advika Sengupta,26,3,4,2,3
436,380,Forum Trivedi,44,8,1,5,3
437,381,Qushi Sem,54,5,1,5,3
438,382,Arin Mangal,38,1,1,2,1
439,383,Lekha Kumar,45,8,3,2,3
440,384,Alexander Sant,54,7,4,2,1
441,385,Yoshita Badami,69,6,4,2,1
442,385,Suhani Tank,33,4,5,2,1
443,386,Vidhi Kurian,72,4,6,4,1
444,387,Tristan Guha,50,1,7,3,1
445,387,Lucky Deol,28,8,7,4,1
446,388,Patrick Babu,46,1,4,4,1
447,389,Zinal Varughese,66,2,6,2,2
448,390,Ronith Tiwari,27,6,6,1,2
449,391,Hritik Kulkarni,19,5,7,1,1
450,392,Aahana Jha,31,5,5,2,2
451,393,Qabil Uppal,28,1,7,3,3
452,394,Mitesh Pall,21,4,1,4,3
453,395,Hredhaan Rana,64,6,3,4,2
454,396,Lopa Lad,35,5,6,1,1
455,397,Gaurika Patel,45,3,2,5,1
456,398,Odika Chada,47,3,6,4,1
457,399,Ishanvi Dhawan,67,8,6,1,1
458,400,Diya Rau,73,9,6,5,3
459,401,Lipika Narayanan,37,3,7,2,2
460,402,Yash Mani,56,4,5,1,2
461,403,Isha Sur,32,7,2,2,2
462,404,Aishani Ramakrishnan,60,2,6,1,2
463,405,Kashvi Tailor,37,6,7,2,3
464,406,Gayathri Khalsa,53,4,3,5,1
465,407,Brinda Mall,56,9,3,2,1
466,408,Nitesh Mall,43,8,2,3,2
467,409,Ayaan Goswami,40,8,1,4,3
468,410,Pavani Varty,56,7,5,1,1
469,411,Atharv Zachariah,19,9,6,3,3
470,412,Ishani Bath,24,6,7,3,2
471,413,Logan Gala,62,1,2,2,1
472,414,Warhi Gandhi,74,1,7,4,3
473,415,Vincent Choudhury,46,5,7,2,3
474,416,Vincent Kannan,65,4,2,4,1
475,417,Oeshi Mangal,23,9,3,3,2
476,418,Radhika Dasgupta,19,6,7,4,2
477,419,Yashvi Mahal,44,4,3,3,2
478,420,Saumya Sekhon,39,8,7,1,1
479,421,Azad Halder,72,8,7,4,3
480,422,Rishi Bora,61,9,1,3,2
481,423,Karan Dhillon,71,8,5,3,1
482,424,Irya Gour,30,9,7,3,1
483,425,Robert Anne,32,4,1,1,2
484,426,Yuvraj Merchant,65,7,4,1,1
485,427,Anay Mammen,73,8,5,1,1
486,428,Reyansh Kadakia,22,9,2,5,2
487,429,Girindra Master,47,6,4,5,3
488,430,Rachana Khare,33,6,5,3,3
489,431,Jhalak Sinha,21,7,6,5,3
490,432,Girik Bhavsar,33,2,4,3,3
491,433,Eesha Bera,26,7,4,2,1
492,434,Gagan Sha,25,3,2,5,1
493,435,Jason Kulkarni,32,6,5,2,1
494,436,Bhavini Samra,53,1,4,1,2
495,437,Priya Nagi,64,5,6,2,1
496,438,Urvi Badami,74,3,5,5,1
497,439,Amruta Banik,40,3,7,1,2
498,439,Peter Sura,54,4,7,3,2
499,440,Tanish Venkataraman,31,2,7,4,1
500,441,Forum Deshpande,67,9,5,1,2
501,442,Bhavya Chawla,70,9,6,5,3
502,443,Varsha Gara,59,5,6,1,2
503,443,Umang Choudhury,30,7,1,3,2
504,444,Samarth Lalla,26,9,2,4,1
505,445,Raagini Chander,31,9,5,1,3
506,446,Jagvi Nagi,27,2,2,4,1
507,447,Arunima Nagy,58,5,3,5,2
508,448,Diya Kibe,49,4,6,1,2
509,449,Nitara Kumar,26,1,7,3,3
510,450,Ira Goel,20,8,4,3,3
511,450,Darpan Dalal,72,9,6,1,2
512,451,Arunima Raghavan,42,6,7,1,3
513,452,Andrew Sood,40,4,2,4,2
514,453,Jonathan Oommen,33,4,3,4,2
515,454,Jagvi Pillay,32,7,6,2,1
516,455,Naveen Singhal,24,9,1,5,2
517,456,Vasatika Rao,36,1,6,3,1
518,457,Lohit Joshi,26,8,3,2,1
519,458,Ayaan Gulati,58,9,5,1,3
520,459,Vaishnavi Deshpande,72,9,1,5,3
521,460,Yashawini Sura,50,1,2,4,2
522,461,Pahal Patla,45,7,4,3,1
523,462,Rayaan Chanda,24,5,4,4,1
524,463,Advika Aurora,39,9,7,3,3
525,464,Bachittar Mitter,69,2,4,1,1
526,465,Aahana Thakkar,61,7,5,4,3
527,466,Lavanya Bhakta,61,8,4,2,3
528,467,Dhruv Narasimhan,74,2,4,3,1
529,468,Unni Raman,29,5,2,2,1
530,469,Zashil Gola,59,4,1,5,3
531,470,Januja Sundaram,61,2,5,1,1
532,471,Balvan Dixit,58,4,4,2,2
533,471,Vritti Barad,74,4,1,2,2
534,472,Jagvi Kohli,67,3,5,2,3
535,473,Lopa Naidu,31,3,1,2,1
536,474,Leena Majumdar,43,4,1,5,2
537,475,Barkha Gole,47,4,5,4,2
538,476,Jason Joshi,30,8,1,5,3
539,477,Tarak Dube,51,8,1,2,3
540,477,Niharika Dhillon,41,1,6,5,3
541,478,Bhavna Gupta,60,6,7,1,2
542,479,Chaaya Raj,56,2,6,2,2
543,480,Radhika Raghavan,37,9,6,5,2
544,481,Ranveer Bassi,38,7,6,4,2
545,482,Pallavi Ram,26,1,6,2,3
546,483,Aarna Kurian,32,5,2,5,1
547,484,Sai Viswanathan,59,2,3,5,2
548,485,Watika Dutt,57,1,1,2,2
549,486,Hemal Mital,45,9,5,4,2
550,487,Mohammed Parmar,65,1,4,3,2
551,487,Pallavi Thaker,37,8,5,2,3
552,488,Balhaar Saraf,66,1,6,3,2
553,489,Harini Toor,59,3,6,2,3
554,490,Tara Salvi,67,6,1,4,2
555,491,Rehaan Yogi,59,4,6,4,2
556,492,Barkha Bhagat,68,8,4,4,2
557,493,Bhavani Varty,65,8,3,1,1
558,494,Ekavir Khatri,53,5,7,2,2
559,495,Kalpit Rajan,54,1,3,1,1
560,496,Warda Narasimhan,50,3,1,1,2
561,497,Dipta Gandhi,53,6,7,3,2
562,498,Lucky Chowdhury,68,4,4,2,2
563,499,Warhi Rajagopal,21,3,3,3,3
564,500,Zayan Loyal,19,3,6,1,3
565,501,Garima Ahluwalia,70,1,1,4,2
566,502,George Natarajan,48,4,5,5,1
567,503,Wyatt Kohli,33,4,5,1,3
568,504,David Purohit,38,8,3,2,1
569,505,Chanakya Shenoy,36,6,4,2,1
570,506,Aarini Sura,51,8,7,1,1
571,507,Tarak Cherian,54,2,7,3,2
572,508,Warda Chander,63,6,2,5,2
573,509,Ayushman Oommen,30,2,1,3,3
574,510,Upadhriti Saini,40,6,1,3,3
575,511,Gavin Khosla,68,2,4,5,2
576,512,Eshana Sarkar,30,6,2,4,2
577,513,Nathaniel Venkataraman,45,6,1,2,3
578,514,Rudra Deshmukh,52,8,6,3,1
579,514,Aryan Kale,28,4,1,5,2
580,515,Mason Kapoor,64,2,5,4,1
581,516,Krisha Basu,24,2,1,4,1
582,517,Bakhshi Rajagopal,22,7,4,1,2
583,517,Ethan Dey,35,9,3,5,3
584,518,Elijah Borra,24,9,4,5,2
585,519,Ridhi More,51,8,1,1,2
586,520,Arjun Lal,42,3,4,3,2
587,521,Ayushman Chand,53,4,6,5,2
588,522,Indali Karnik,23,8,4,5,3
589,523,Chaaya Acharya,49,9,1,4,1
590,524,Mahika Patil,30,4,5,1,3
591,525,Neel Ramakrishnan,75,4,4,3,2
592,526,Nitesh Anne,75,5,4,1,1
593,527,Andrew Sandhu,63,8,6,3,3
594,528,Matthew Hora,48,6,2,5,1
595,529,Kala Lata,31,3,3,4,3
596,530,Krisha Lad,74,8,4,2,1
597,531,Jagdish Anand,27,5,6,4,2
598,531,Hemangini Natt,34,1,6,1,3
