EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
61,10,44,9,1,KGID100061,Ikbal,1976-09-10,2,4,0,1996-06-20
62,13,231,6,3,KGID100062,Saumya,1972-09-05,2,5,0,1996-03-28
63,2,313,7,1,KGID100063,Turvi,1976-09-26,1,4,0,2021-05-23
64,3,81,1,5,KGID100064,Saanvi,1997-05-23,1,3,0,2019-02-07
65,15,305,2,1,KGID100065,Guneet,1969-05-13,1,5,0,2023-12-23
66,15,37,4,3,KGID100066,Alexander,2003-05-07,1,7,0,2021-06-30
67,8,332,1,3,KGID100067,Warjas,1973-08-24,1,2,0,2006-07-06
68,10,305,4,5,KGID100068,Tanay,1999-06-27,2,8,0,2020-09-06
69,10,207,7,5,KGID100069,Nitesh,1981-07-07,2,8,0,2023-07-02
70,2,222,4,5,KGID100070,Alka,2001-10-10,2,1,0,2016-09-10
71,1,138,3,2,KGID100071,Bhavika,1983-02-22,2,8,0,2022-07-19
72,6,300,2,4,KGID100072,Vidhi,1973-03-22,1,8,0,2000-02-02
73,11,165,4,2,KGID100073,Dalbir,1988-12-03,2,7,0,2008-06-07
74,10,206,5,5,KGID100074,Dipta,1969-08-10,1,8,0,2009-11-11
75,9,166,1,4,KGID100075,Yadavi,2001-07-06,1,8,0,2008-01-22
76,7,266,2,4,KGID100076,Dakshesh,2003-01-16,2,1,0,1992-09-21
77,5,148,2,6,KGID100077,Quincy,1970-01-11,2,2,0,1992-04-23
78,8,82,2,1,KGID100078,Wahab,1982-06-08,2,2,0,2022-01-05
79,4,237,7,6,KGID100079,Yatin,1988-11-30,1,8,0,1991-05-09
80,10,261,4,4,KGID100080,Finn,1983-01-02,2,8,0,2009-11-05
81,5,197,1,5,KGID100081,Diya,2002-01-29,1,2,0,1996-12-11
82,14,175,6,5,KGID100082,Dipta,1976-04-28,2,1,0,2003-06-16
83,10,301,3,6,KGID100083,Charita,1984-05-30,2,3,0,2021-08-02
84,16,177,2,5,KGID100084,Elijah,1967-11-02,2,8,0,2011-02-13
85,7,123,3,2,KGID100085,Harish,1970-03-16,2,1,0,1997-03-31
86,16,196,2,6,KGID100086,Alka,1972-05-24,1,8,0,2001-11-12
87,5,258,7,3,KGID100087,Ekapad,2000-01-11,1,8,0,2002-07-25
88,15,8,4,4,KGID100088,Nakul,1983-09-16,1,2,0,2008-06-20
89,9,174,3,4,KGID100089,Chasmum,1990-02-15,1,6,0,2023-07-26
90,13,163,3,4,KGID100090,Abhiram,1992-03-16,1,2,0,2008-11-09
91,10,117,4,4,KGID100091,Hemang,2002-03-27,1,2,0,1994-07-26
92,10,15,1,1,KGID100092,Jack,2000-05-31,2,6,0,2015-03-30
93,5,126,3,5,KGID100093,Nachiket,1977-07-27,1,3,0,2010-07-25
94,13,318,4,4,KGID100094,Hemal,1975-01-10,1,4,0,2011-07-25
95,9,236,1,1,KGID100095,Aishani,1986-03-12,2,5,0,1998-07-16
96,6,38,2,3,KGID100096,Charan,1970-11-28,2,7,0,2004-05-26
97,15,155,1,4,KGID100097,Aradhana,1969-02-14,2,2,0,2001-05-05
98,12,295,1,6,KGID100098,Kalpit,1991-01-25,2,1,1,1998-11-27
99,13,141,1,6,KGID100099,Riya,1987-11-27,1,8,0,2004-07-17
100,10,118,3,3,KGID100100,Aditya,1971-08-19,1,4,0,2022-02-17
101,5,322,1,6,KGID100101,Manthan,1987-09-06,1,5,0,2018-05-18
102,2,297,2,2,KGID100102,Manbir,1983-05-25,1,5,0,1991-06-04
103,14,90,1,5,KGID100103,Janya,2000-10-03,2,5,0,2017-01-25
104,9,247,7,3,KGID100104,Balveer,2000-10-02,2,2,0,1997-02-21
105,3,73,4,2,KGID100105,Zaid,1992-03-03,2,6,0,2002-01-09
106,13,8,1,1,KGID100106,Niharika,2003-07-12,2,6,0,2015-06-26
107,9,300,2,6,KGID100107,Warjas,1999-06-27,2,2,0,2023-03-11
108,16,13,3,5,KGID100108,Peter,2000-02-09,2,4,0,1990-11-04
109,15,155,3,1,KGID100109,Gaurangi,1996-06-10,1,1,0,2003-12-31
110,10,253,1,2,KGID100110,Yuvraj,1977-05-13,1,7,0,2016-10-08
111,14,301,4,2,KGID100111,Hritik,1981-08-25,2,2,0,1991-04-26
112,14,144,1,3,KGID100112,Upma,1975-09-22,1,8,0,2017-10-06
113,8,186,1,6,KGID100113,Triveni,1980-06-06,2,6,0,2017-11-24
114,9,98,7,4,KGID100114,Vedant,1975-09-28,1,4,0,2012-06-10
115,1,26,4,2,KGID100115,Mohini,1979-08-22,1,4,0,2019-05-22
116,7,301,1,2,KGID100116,Arya,1980-06-26,2,3,0,2007-04-27
117,1,142,5,2,KGID100117,Garima,2002-03-31,1,5,0,1993-12-03
118,4,14,1,3,KGID100118,Advika,1974-02-06,1,6,0,2022-09-22
119,9,27,1,4,KGID100119,Alka,1968-11-28,1,2,0,2010-04-14
120,12,263,3,4,KGID100120,Hemani,1994-06-14,1,1,0,2000-08-31
121,10,235,3,1,KGID100121,Yasti,1971-10-09,1,8,0,2020-08-01
122,14,56,2,4,KGID100122,Ranveer,1976-12-01,1,2,0,2014-02-05
123,5,34,1,5,KGID100123,Aarav,1986-09-24,2,7,1,2017-06-03
124,10,233,3,4,KGID100124,Ronith,1980-12-20,1,2,0,1992-05-18
125,7,221,2,2,KGID100125,Ganga,1990-07-20,2,6,0,2012-07-21
126,13,213,4,3,KGID100126,Jeet,1994-02-15,2,6,0,2000-03-18
127,12,79,4,4,KGID100127,Dayamai,1992-03-03,1,2,0,2001-02-02
128,3,222,1,6,KGID100128,Chakrika,1988-01-03,2,3,0,1996-07-10
129,11,63,2,6,KGID100129,Ladli,1992-07-21,2,1,0,2020-09-11
130,10,181,1,5,KGID100130,Charvi,1982-07-09,1,3,0,2018-05-07
131,8,56,2,5,KGID100131,Daksha,1978-02-09,2,2,0,2004-08-13
132,8,220,5,5,KGID100132,Ekanta,1984-09-12,1,5,0,2005-01-12
133,9,159,6,3,KGID100133,Tanay,1986-05-29,1,3,0,2016-12-26
134,13,36,1,6,KGID100134,Omkaar,1991-11-15,1,2,0,1999-08-26
135,7,193,2,3,KGID100135,Gautami,1970-12-13,1,6,0,2022-05-14
136,11,291,3,1,KGID100136,Wahab,1992-05-21,1,3,0,1997-08-21
137,2,42,1,6,KGID100137,Rushil,1972-12-11,2,8,0,1991-07-28
138,14,140,1,5,KGID100138,Vaishnavi,1990-02-10,1,6,0,2016-02-17
139,10,304,2,6,KGID100139,Tamanna,1982-10-30,2,1,0,2011-05-31
140,2,4,1,2,KGID100140,Robert,1994-01-27,1,5,0,2003-01-21
141,4,4,2,4,KGID100141,Mugdha,1976-07-09,1,3,0,2012-04-21
142,8,257,3,6,KGID100142,Abdul,2000-07-10,2,2,0,2019-04-03
143,2,224,1,1,KGID100143,Hredhaan,1996-04-18,2,7,0,1997-06-10
144,14,149,1,1,KGID100144,Zarna,1984-09-06,2,3,0,2008-12-13
145,15,186,1,1,KGID100145,Jairaj,1984-05-20,1,7,0,2017-03-31
146,3,203,5,6,KGID100146,Edhitha,2002-08-24,2,4,0,2020-04-22
147,6,40,3,1,KGID100147,Yamini,1983-04-14,1,6,0,2020-10-31
148,5,121,1,3,KGID100148,Sanaya,2000-09-09,1,3,0,2015-04-14
149,3,91,7,6,KGID100149,Vaishnavi,1984-02-23,2,8,0,2015-07-24
150,15,290,3,5,KGID100150,Aradhana,1995-10-30,2,6,0,2007-09-22
151,3,241,2,3,KGID100151,William,1977-08-27,2,1,0,1992-08-20
152,3,159,2,1,KGID100152,Bhavika,1976-03-03,1,6,0,2001-06-02
153,3,331,5,1,KGID100153,Faris,1972-08-12,2,8,0,1997-11-11
154,2,231,6,5,KGID100154,Michael,1993-08-19,1,6,0,1992-03-08
155,5,32,2,3,KGID100155,Nikita,1979-09-26,1,3,0,2005-11-03
156,15,225,3,5,KGID100156,David,1975-02-23,1,6,0,2004-04-14
157,10,199,2,3,KGID100157,Anmol,1999-03-12,1,6,0,2016-01-12
158,4,286,4,3,KGID100158,Lajita,1985-02-21,2,3,0,2022-01-19
159,5,180,2,6,KGID100159,Chanchal,1995-05-17,2,3,0,2019-01-07
160,3,159,3,6,KGID100160,Oni,1987-05-30,2,3,0,2014-12-23
161,3,331,4,5,KGID100161,Thomas,1985-07-23,2,1,0,1999-04-13
162,6,110,2,4,KGID100162,Vedika,1968-07-26,1,4,1,2001-06-06
163,5,40,1,1,KGID100163,Nidhi,1994-04-16,1,6,0,2018-07-30
164,5,306,2,2,KGID100164,Joshua,2003-10-13,1,3,0,2008-02-28
165,2,211,2,6,KGID100165,Meera,1989-05-24,1,8,0,2012-07-17
166,15,120,3,3,KGID100166,Fiyaz,1991-04-11,2,4,0,1994-08-13
167,15,237,4,4,KGID100167,Triya,1974-03-21,2,3,0,1998-11-05
168,5,129,1,4,KGID100168,Falak,1975-04-29,2,2,0,2001-02-10
169,4,146,1,2,KGID100169,Ladli,1977-10-15,2,8,0,2022-05-05
170,5,224,1,2,KGID100170,Oviya,1976-10-29,2,6,0,1992-10-14
171,14,28,2,3,KGID100171,Anirudh,1995-03-18,1,7,1,1991-10-09
172,12,115,1,1,KGID100172,Inaya,1975-10-16,2,3,0,1992-05-02
173,10,242,4,2,KGID100173,Banjeet,1995-05-27,2,8,0,2022-04-15
174,3,10,1,2,KGID100174,Ryan,1998-07-19,2,2,0,2011-02-15
175,8,155,1,2,KGID100175,William,1972-02-29,2,8,0,2012-10-05
176,16,306,3,6,KGID100176,Tejas,1984-09-12,1,3,0,1998-09-18
177,1,315,2,5,KGID100177,Jyoti,1973-09-13,2,3,0,2010-08-24
178,3,269,8,1,KGID100178,Ishwar,1996-04-09,1,7,0,1995-07-27
179,2,326,2,3,KGID100179,Deepa,1971-06-29,2,1,0,1990-11-15
180,3,177,1,6,KGID100180,Devika,1988-10-18,1,6,0,2020-11-14
181,12,280,2,6,KGID100181,Keya,1982-03-03,1,8,1,2014-04-24
182,16,324,1,2,KGID100182,Faqid,1989-05-27,1,8,0,2018-03-29
183,7,23,4,1,KGID100183,Xavier,1971-04-07,2,5,0,2016-04-06
184,16,130,1,6,KGID100184,Jai,1996-12-15,1,5,0,2009-03-29
185,2,336,2,1,KGID100185,Benjamin,1980-05-04,2,7,0,2004-07-25
186,15,198,2,2,KGID100186,Kamala,1970-01-16,2,8,0,2012-01-07
187,9,43,4,1,KGID100187,Advik,1998-12-06,2,3,0,2017-12-16
188,11,53,1,6,KGID100188,Hitesh,1983-07-15,2,5,0,2002-04-25
189,14,86,4,3,KGID100189,Tripti,1993-08-31,2,1,0,2004-10-21
190,12,315,10,3,KGID100190,Anamika,1990-04-14,1,2,0,2021-04-07
191,13,187,3,6,KGID100191,Veda,1984-09-10,1,1,0,2018-01-27
192,15,18,1,2,KGID100192,Amrita,1979-06-02,2,6,0,1998-05-07
193,2,310,1,4,KGID100193,Gabriel,1977-10-24,2,6,0,2005-04-30
194,3,294,1,3,KGID100194,Ucchal,1988-07-30,2,6,0,2012-09-19
195,8,59,1,2,KGID100195,Gayathri,1968-07-21,2,7,0,2018-12-07
196,4,135,4,6,KGID100196,Qabil,1985-07-14,2,4,1,2002-01-24
197,10,252,1,2,KGID100197,Aarna,1980-02-01,1,8,0,2019-12-06
198,15,45,5,3,KGID100198,Anya,1988-01-22,2,2,0,2007-07-26
199,10,154,5,6,KGID100199,Rayaan,1970-08-30,1,6,0,2014-06-25
200,4,103,4,2,KGID100200,Vrinda,1988-01-14,2,1,0,1998-03-04
201,12,240,5,5,KGID100201,Vamakshi,1991-05-24,1,2,0,2006-09-09
202,13,246,3,4,KGID100202,Anay,1970-12-08,1,3,1,1997-07-14
203,3,231,2,5,KGID100203,Yagnesh,1978-10-28,2,3,0,2009-10-09
204,6,67,2,1,KGID100204,Urvashi,1987-12-22,1,3,0,2001-09-08
205,6,166,6,2,KGID100205,Ganga,1980-07-05,2,5,0,2005-06-05
206,9,101,3,5,KGID100206,Damini,1976-10-17,2,3,0,1994-02-07
207,3,258,3,5,KGID100207,Reyansh,1979-03-03,1,3,0,2015-04-05
208,11,289,1,1,KGID100208,Qasim,1974-07-31,1,1,0,2015-02-10
209,9,334,1,5,KGID100209,Aradhana,1994-04-21,2,1,0,2023-03-16
210,10,329,7,4,KGID100210,Barkha,2003-10-10,1,7,0,2018-04-23
211,3,31,1,4,KGID100211,Chaman,1975-11-29,2,8,0,1996-02-07
212,5,161,5,3,KGID100212,Akshay,1993-09-09,2,7,0,1994-04-21
213,12,264,3,3,KGID100213,Chakradev,2003-07-18,1,8,0,2008-10-24
214,15,127,1,1,KGID100214,Jonathan,1991-02-04,2,7,0,2015-08-06
215,14,128,7,2,KGID100215,Harshil,1999-10-14,2,6,0,2009-07-08
216,6,256,9,4,KGID100216,Upasna,1985-03-16,2,5,0,2001-08-01
217,3,202,3,2,KGID100217,Charan,1976-11-01,1,6,0,2019-04-19
218,10,254,3,6,KGID100218,Ishaan,1997-11-29,2,5,0,2003-08-16
219,4,221,1,3,KGID100219,Ethan,1988-11-04,2,7,0,2013-05-04
220,13,27,3,2,KGID100220,Max,1973-01-05,2,5,0,2009-02-19
221,15,282,1,5,KGID100221,Daksha,1970-08-24,1,3,1,1998-06-10
222,13,192,4,3,KGID100222,Omaja,1989-12-05,2,3,0,2016-11-19
223,13,257,1,1,KGID100223,Upkaar,1996-03-12,1,6,0,2002-12-07
224,15,77,3,5,KGID100224,Saanvi,1978-06-30,1,6,0,2010-01-04
225,11,84,2,5,KGID100225,Pushti,1978-10-17,2,6,0,2011-02-11
226,16,289,1,1,KGID100226,Hardik,2002-07-22,2,6,0,1997-01-24
227,14,299,2,6,KGID100227,Siddharth,1977-04-14,1,8,0,1992-10-05
228,8,27,3,2,KGID100228,Wriddhish,1973-12-04,2,3,0,1992-07-21
229,8,17,3,6,KGID100229,Aarnav,1982-08-11,1,4,0,2013-06-09
230,11,215,1,6,KGID100230,Upma,1978-04-09,1,7,0,1997-11-14
231,16,32,4,5,KGID100231,Barkha,1993-07-03,1,6,1,2005-06-09
232,16,270,2,2,KGID100232,Vivaan,2001-09-05,2,6,0,2016-10-14
233,9,313,2,2,KGID100233,Rudra,1983-03-23,2,5,0,2008-07-07
234,10,148,4,6,KGID100234,Manthan,2001-02-08,2,6,0,2018-02-08
235,9,148,1,6,KGID100235,Ekbal,1969-09-13,2,7,0,2016-12-12
236,5,149,1,6,KGID100236,Bhavya,1983-09-29,1,6,0,2005-12-08
237,9,246,1,5,KGID100237,Daksha,1993-05-20,2,5,0,2022-01-19
238,8,125,1,5,KGID100238,Xiti,1987-06-22,1,4,0,2004-11-19
239,14,170,4,1,KGID100239,Balveer,2000-05-27,1,1,0,2014-12-22
240,6,209,4,4,KGID100240,Zashil,1968-06-13,2,4,0,1997-10-13
241,10,165,1,1,KGID100241,Ansh,2004-06-24,1,4,0,2012-11-09
242,2,90,2,2,KGID100242,Amruta,1988-10-24,1,7,0,2015-12-12
243,6,149,5,1,KGID100243,Parth,1984-11-25,2,2,0,2012-02-25
244,11,146,2,6,KGID100244,Arunima,1974-03-17,2,3,0,2009-11-25
245,15,140,1,1,KGID100245,Vyanjana,2003-05-08,2,3,0,2005-12-24
246,9,96,1,3,KGID100246,Nilima,1979-10-29,2,4,0,2012-10-13
247,13,219,3,1,KGID100247,Naveen,1979-09-12,2,2,0,2013-08-02
248,5,245,2,2,KGID100248,Bhavya,1992-01-04,1,5,0,2003-08-13
249,15,137,7,3,KGID100249,Balhaar,1984-04-27,1,5,0,2000-09-10
250,8,32,4,4,KGID100250,Ekiya,1971-10-13,2,3,0,2016-04-07
251,10,61,3,3,KGID100251,Yoshita,1998-01-06,2,4,0,1990-01-15
252,5,245,1,6,KGID100252,Turvi,1982-10-14,2,7,0,1996-05-18
253,16,276,5,2,KGID100253,Janaki,1990-07-13,1,2,0,2006-12-13
254,12,40,6,1,KGID100254,Riya,1995-08-13,1,4,0,1996-12-02
255,5,85,2,5,KGID100255,Karan,2001-10-26,2,2,0,2004-11-23
256,16,47,5,4,KGID100256,Vedhika,1971-12-27,1,8,0,2023-02-01
257,14,234,3,5,KGID100257,Wriddhish,1993-10-03,2,5,0,2000-07-25
258,13,131,5,6,KGID100258,Akshay,1987-12-05,1,2,0,1993-03-03
259,12,33,3,1,KGID100259,Ishaan,1984-07-26,1,8,0,1993-12-29
260,14,93,4,6,KGID100260,Mitesh,1985-12-07,2,6,1,2014-05-13
261,13,230,5,4,KGID100261,Yashodhara,1993-08-05,2,2,0,2004-02-16
262,5,335,5,1,KGID100262,Vasudha,2003-10-07,1,7,0,1998-04-15
263,8,2,4,3,KGID100263,Maanav,1981-09-08,2,7,0,2021-05-05
264,8,127,2,2,KGID100264,Yashoda,1995-02-09,2,4,0,1994-08-23
265,4,17,5,4,KGID100265,Ekaraj,1977-09-18,1,4,0,2016-11-10
266,4,305,1,5,KGID100266,Oeshi,1980-01-26,1,4,0,2016-10-12
267,13,225,1,2,KGID100267,Amara,1997-11-08,1,3,0,1999-08-14
268,10,120,5,6,KGID100268,Chanchal,1998-06-25,2,6,0,2009-09-19
269,5,267,1,3,KGID100269,Vrishti,1999-07-05,2,1,0,2005-03-08
270,6,321,4,5,KGID100270,Veda,1980-04-06,2,1,1,2008-10-06
271,13,269,2,4,KGID100271,Krishna,1984-05-04,2,3,0,2000-12-09
272,6,276,2,2,KGID100272,Ranbir,2003-10-14,2,3,0,1998-02-13
273,2,288,2,4,KGID100273,Leela,1976-02-19,1,7,0,2016-05-14
274,7,170,3,4,KGID100274,Caleb,1979-04-08,2,2,0,2006-01-30
275,7,27,1,6,KGID100275,Lakshmi,1981-10-11,1,2,0,2012-07-25
276,7,246,1,3,KGID100276,Max,1985-10-27,2,1,0,1991-04-05
277,7,61,4,4,KGID100277,Yadavi,2003-03-19,1,4,0,2001-04-15
278,8,283,2,3,KGID100278,Harish,1999-11-03,2,8,0,2004-12-20
279,12,158,1,5,KGID100279,Tanmayi,1968-01-23,2,8,0,1994-11-26
280,16,164,6,3,KGID100280,Mohammed,1970-04-06,2,7,0,2016-07-27
281,8,75,1,5,KGID100281,Alka,1980-01-08,2,5,0,2013-07-21
282,11,118,2,2,KGID100282,Faris,1999-01-04,2,6,0,2018-12-24
283,16,329,4,4,KGID100283,Lajita,2002-10-19,1,6,0,2011-04-24
284,16,95,6,5,KGID100284,Vinaya,1999-10-10,1,1,0,1991-03-22
285,3,25,4,4,KGID100285,Ekapad,1976-03-06,1,4,0,2013-04-08
286,5,5,1,4,KGID100286,Bhavna,2004-05-26,2,1,0,2015-05-23
287,16,250,1,5,KGID100287,Radha,2003-09-11,2,1,0,2015-11-08
288,9,275,8,1,KGID100288,Harish,1983-11-29,2,3,0,2013-08-06
289,4,269,1,2,KGID100289,Ayush,1969-03-12,2,6,0,2017-01-25
290,13,41,2,4,KGID100290,Chaaya,1980-10-03,2,4,1,2004-08-23
291,8,154,4,1,KGID100291,Yash,1987-02-23,1,2,0,2009-03-29
292,13,283,2,6,KGID100292,Pranit,1973-10-13,1,3,0,1992-09-07
293,14,331,4,5,KGID100293,Lavanya,1990-06-04,1,1,0,1998-03-10
294,16,139,1,1,KGID100294,Luke,1976-02-01,2,1,0,2011-09-09
295,11,9,7,5,KGID100295,Tripti,1976-12-09,1,7,0,1990-04-27
296,10,84,3,5,KGID100296,Udyati,2000-11-02,2,6,0,2013-01-14
297,5,41,3,3,KGID100297,Nakul,1970-03-24,1,2,0,2022-02-19
298,3,175,3,5,KGID100298,Chandani,1991-02-19,2,6,0,2004-06-05
299,9,231,2,3,KGID100299,Zashil,1984-05-25,2,7,0,2000-04-09
300,13,44,4,3,KGID100300,Leena,1999-01-25,1,2,0,1993-08-17
301,5,195,4,6,KGID100301,Lakshmi,1988-08-27,1,7,0,2009-07-18
302,4,47,1,3,KGID100302,Chakrika,1968-04-21,2,6,0,2018-03-22
303,4,68,1,4,KGID100303,Meghana,1977-08-25,2,7,0,2009-03-29
304,3,182,3,5,KGID100304,Chandran,2001-03-09,2,7,0,2015-05-03
305,14,199,4,6,KGID100305,Bhavini,1996-03-13,1,3,0,1997-10-28
306,6,72,1,3,KGID100306,Indira,1975-08-06,2,3,0,1996-06-19
307,14,142,2,4,KGID100307,Zashil,1992-07-27,1,6,0,2014-07-06
308,8,321,2,5,KGID100308,Laksh,1990-09-27,1,8,0,2020-09-18
309,10,4,7,3,KGID100309,Balveer,1978-12-04,2,6,0,2004-12-27
310,14,334,8,2,KGID100310,Janya,1994-08-04,2,6,0,1993-01-24
311,7,246,2,4,KGID100311,Chakrika,1979-08-01,2,5,0,2004-02-16
312,16,295,4,3,KGID100312,Sai,1972-05-20,2,5,0,2008-05-04
313,13,187,1,5,KGID100313,Jasmit,1987-02-19,1,3,0,2021-01-21
314,1,237,7,2,KGID100314,Nitesh,1976-12-31,2,5,0,2018-01-14
315,3,210,4,2,KGID100315,Vasatika,2003-04-16,2,4,0,2000-01-14
316,5,217,4,1,KGID100316,Hamsini,1997-04-02,2,8,0,2005-12-03
317,14,279,1,3,KGID100317,Faqid,1972-09-13,1,2,0,2022-11-10
318,12,86,3,1,KGID100318,Mekhala,2003-04-14,2,6,0,2017-05-10
319,14,55,1,3,KGID100319,Jasmit,1970-11-01,1,4,0,2003-06-01
320,13,238,4,5,KGID100320,Aishani,1987-05-07,1,6,1,2005-06-18
321,16,54,1,1,KGID100321,Adweta,1989-02-14,1,3,0,2017-12-17
322,11,234,4,5,KGID100322,Kamya,1971-07-03,2,6,0,1997-12-13
323,15,232,2,3,KGID100323,Aryan,1990-06-02,1,2,0,2022-01-25
324,11,332,1,2,KGID100324,Falak,2001-05-11,1,3,0,1997-07-11
325,11,287,2,4,KGID100325,Dev,1991-01-02,1,7,0,2005-10-14
326,6,328,4,4,KGID100326,Chasmum,1991-07-08,1,4,0,1993-12-19
327,14,200,1,2,KGID100327,Chakradev,2002-07-04,1,5,0,2000-05-07
328,3,296,1,5,KGID100328,Waida,1971-10-16,1,6,0,1997-12-25
329,15,59,1,4,KGID100329,Krishna,1981-11-15,2,7,0,2002-08-13
330,4,179,2,4,KGID100330,Oni,1989-03-23,1,5,0,2014-09-14
331,3,69,2,2,KGID100331,Oeshi,1991-09-23,2,2,0,2018-05-06
332,5,262,2,5,KGID100332,Nikita,2002-03-29,1,7,0,1999-07-06
333,16,326,3,6,KGID100333,Kamala,1975-07-14,1,3,0,2005-02-13
334,5,96,2,4,KGID100334,Warinder,1999-02-23,1,6,0,1993-05-18
335,16,70,1,4,KGID100335,Jhalak,1987-08-22,2,7,0,2023-03-31
336,14,228,2,1,KGID100336,Jagrati,1969-09-25,1,4,0,1999-05-19
